inventory_code;inventory_pool;serial_number;model_name;Kat1;Kat2;Kat3
AVZ15849;AV-Ausleihe;keine;Beamerhalterung Manfrotto Kugelgelenk und Clamp mit Alugrundplatte;beamerzubehör
AVZ15852;AV-Ausleihe;keine;Beamerhalterung Manfrotto Kugelgelenk und Clamp mit Alugrundplatte;beamerzubehör
AVZ15853;AV-Ausleihe;keine;Beamerhalterung Manfrotto Kugelgelenk und Clamp mit Alugrundplatte;beamerzubehör
AVZ15854;AV-Ausleihe;keine;Beamerhalterung Manfrotto Kugelgelenk und Clamp mit Alugrundplatte;beamerzubehör
AVZ16055;AV-Ausleihe;S0110096406;Blu-ray Disc Player Sony BDP-S300;BluRay Player / Recorder
AVZ13394;AV-Ausleihe;6030110080;CD-Player Denon DCD-485;Nichtportable Audio Recorder/Player
AVZ13395;AV-Ausleihe;6030110091;CD-Player Denon DCD-485;Nichtportable Audio Recorder/Player
AVZ13396;AV-Ausleihe;6030110090;CD-Player Denon DCD-485;Nichtportable Audio Recorder/Player
AVZ13397;AV-Ausleihe;6040110882;CD-Player Denon DCD-485;Nichtportable Audio Recorder/Player
AVZ15815;AV-Ausleihe;501481;CD-Player Sony CDP-D11;Nichtportable Audio Recorder/Player
AVZ12988;AV-Ausleihe;7773;CD-Player TEAC CD-P1100;Nichtportable Audio Recorder/Player
AVZ12989;AV-Ausleihe;7719972;CD-Player TEAC CD-P1100;Nichtportable Audio Recorder/Player
AVZ12990;AV-Ausleihe;7799972;CD-Player TEAC CD-P1100;Nichtportable Audio Recorder/Player
AVZ12999;AV-Ausleihe;7738972;CD-Player TEAC CD-P1100;Nichtportable Audio Recorder/Player
AVZ13485;AV-Ausleihe;7713972;CD-Player TEAC CD-P1100;Nichtportable Audio Recorder/Player
AVZ13802;AV-Ausleihe;7771 972;CD-Player TEAC CD-P1100;Nichtportable Audio Recorder/Player
AVZ13803;AV-Ausleihe;7752 972;CD-Player TEAC CD-P1100;Nichtportable Audio Recorder/Player
AVZ12992;AV-Ausleihe;0AB2209281;CD-Player TEAC CD-P1250;Nichtportable Audio Recorder/Player
AVZ12993;AV-Ausleihe;0AB1905122;CD-Player TEAC CD-P1250;Nichtportable Audio Recorder/Player
AVZ12994;AV-Ausleihe;0AB2209290;CD-Player TEAC CD-P1250;Nichtportable Audio Recorder/Player
AVZ12995;AV-Ausleihe;0AB1905267;CD-Player TEAC CD-P1250;Nichtportable Audio Recorder/Player
AVZ12996;AV-Ausleihe;0AB2209308;CD-Player TEAC CD-P1250;Nichtportable Audio Recorder/Player
AVZ12997;AV-Ausleihe;7763;CD-Player TEAC CD-P1250;Nichtportable Audio Recorder/Player
AVZ12998;AV-Ausleihe;7738972;CD-Player TEAC CD-P1250;Nichtportable Audio Recorder/Player
AVZ13000;AV-Ausleihe;1AA0Y253500;CD-Player TEAC CD-P1820;Nichtportable Audio Recorder/Player
AVZ13484;AV-Ausleihe;VT3DA09555;CD-Player Technics SL-PG370A;Nichtportable Audio Recorder/Player
AVZ15821;AV-Ausleihe;2;Delay BSS FDS 334 T;Audio Effekte & Delay
AVZ14447;AV-Ausleihe;7094;Diaprojektor 60 x 60 Liesegang Fantax 600;Diaprojektoren
AVZ14450;AV-Ausleihe;5871;Diaprojektor 60 x 60 Liesegang Fantax 600;Diaprojektoren
AVZ14584;AV-Ausleihe;551491;Diaprojektor Elmo 253 AF;Diaprojektoren
AVZ14585;AV-Ausleihe;551487;Diaprojektor Elmo 253 AF;Diaprojektoren
AVZ14586;AV-Ausleihe;551489;Diaprojektor Elmo 253 AF;Diaprojektoren
AVZ14587;AV-Ausleihe;551492;Diaprojektor Elmo 253 AF;Diaprojektoren
AVZ14589;AV-Ausleihe;553200;Diaprojektor Elmo 253 AF;Diaprojektoren
AVZ14477;AV-Ausleihe;1080293;Diaprojektor Kodak 2050;Diaprojektoren
AVZ14478;AV-Ausleihe;922662;Diaprojektor Kodak 2050;Diaprojektoren
AVZ14479;AV-Ausleihe;922799;Diaprojektor Kodak 2050;Diaprojektoren
AVZ14480;AV-Ausleihe;1080380;Diaprojektor Kodak 2050;Diaprojektoren
AVZ14481;AV-Ausleihe;1080551;Diaprojektor Kodak 2050;Diaprojektoren
AVZ14581;AV-Ausleihe;922697;Diaprojektor Kodak 2050;Diaprojektoren
AVZ14582;AV-Ausleihe;1080572;Diaprojektor Kodak 2050;Diaprojektoren
AVZ14469;AV-Ausleihe;137776 4020;Diaprojektor Kodak Ektapro 4020;Diaprojektoren
AVZ14578;AV-Ausleihe;1374194020;Diaprojektor Kodak Ektapro 4020;Diaprojektoren
AVZ14579;AV-Ausleihe;1474474020;Diaprojektor Kodak Ektapro 4020;Diaprojektoren
AVZ14580;AV-Ausleihe;1374224020;Diaprojektor Kodak Ektapro 4020;Diaprojektoren
AVZ14459;AV-Ausleihe;9021 5000;Diaprojektor Kodak Ektapro 5000;Diaprojektoren
AVZ14454;AV-Ausleihe;147401 5020;Diaprojektor Kodak Ektapro 5020;Diaprojektoren
AVZ14455;AV-Ausleihe;148395 5020;Diaprojektor Kodak Ektapro 5020;Diaprojektoren
AVZ14456;AV-Ausleihe;147374 5020;Diaprojektor Kodak Ektapro 5020;Diaprojektoren
AVZ14457;AV-Ausleihe;148394 5020;Diaprojektor Kodak Ektapro 5020;Diaprojektoren
AVZ14461;AV-Ausleihe;111046 9010;Diaprojektor Kodak Ektapro 9010;Diaprojektoren
AVZ14462;AV-Ausleihe;100254 9010;Diaprojektor Kodak Ektapro 9010;Diaprojektoren
AVZ14463;AV-Ausleihe;111031 9010;Diaprojektor Kodak Ektapro 9010;Diaprojektoren
AVZ14464;AV-Ausleihe;931369 9010;Diaprojektor Kodak Ektapro 9010;Diaprojektoren
AVZ14465;AV-Ausleihe;100288 9010;Diaprojektor Kodak Ektapro 9010;Diaprojektoren
AVZ14466;AV-Ausleihe;156569 9020;Diaprojektor Kodak Ektapro 9020;Diaprojektoren
AVZ14467;AV-Ausleihe;156954 9020;Diaprojektor Kodak Ektapro 9020;Diaprojektoren
AVZ14468;AV-Ausleihe;157204 9020;Diaprojektor Kodak Ektapro 9020;Diaprojektoren
AVZ20813;AV-Ausleihe;622041;Diaprojektor Leica Pradovit P600 IR 296;Diaprojektoren
AVZ14448;AV-Ausleihe;191691;Diaprojektor Leitz Pradovit P2002;Diaprojektoren
AVZ13350;AV-Ausleihe;4079233;Digital Fotokamera Nikon D 200;Spiegelreflex Digitalkamera
AVZ15241;AV-Ausleihe;4181977;Digital Fotokamera Nikon D 200 (18-70mm);Spiegelreflex Digitalkamera
AVZ15242;AV-Ausleihe;4180140;Digital Fotokamera Nikon D 200 (18-70mm);Spiegelreflex Digitalkamera
AVZ16759;AV-Ausleihe;2061150;Digital Fotokamera Nikon D 3;Spiegelreflex Digitalkamera
AVZ14893;AV-Ausleihe;6099642;Digital Fotokamera Nikon D 40;Spiegelreflex Digitalkamera
AVZ16084;AV-Ausleihe;6343212;Digital Fotokamera Nikon D 40;Spiegelreflex Digitalkamera
AVZ16085;AV-Ausleihe;6336292;Digital Fotokamera Nikon D 40;Spiegelreflex Digitalkamera
AVZ16086;AV-Ausleihe;6343218;Digital Fotokamera Nikon D 40;Spiegelreflex Digitalkamera
AVZ16087;AV-Ausleihe;6335879;Digital Fotokamera Nikon D 40;Spiegelreflex Digitalkamera
AVZ16088;AV-Ausleihe;6335872;Digital Fotokamera Nikon D 40;Spiegelreflex Digitalkamera
AVZ16089;AV-Ausleihe;6335880;Digital Fotokamera Nikon D 40;Spiegelreflex Digitalkamera
AVZ16090;AV-Ausleihe;6343011;Digital Fotokamera Nikon D 40;Spiegelreflex Digitalkamera
AVZ16091;AV-Ausleihe;6335871;Digital Fotokamera Nikon D 40;Spiegelreflex Digitalkamera
AVZ16092;AV-Ausleihe;6336293;Digital Fotokamera Nikon D 40;Spiegelreflex Digitalkamera
AVZ16093;AV-Ausleihe;6343211;Digital Fotokamera Nikon D 40;Spiegelreflex Digitalkamera
AVZ16659;AV-Ausleihe;4425353;Digital Fotokamera Nikon D 80 (inkl. Nikkor AF-S DX Zoom 18-135mm);Spiegelreflex Digitalkamera
AVZ16660;AV-Ausleihe;4425813;Digital Fotokamera Nikon D 80 (inkl. Nikkor AF-S DX Zoom 18-135mm);Spiegelreflex Digitalkamera
AVZ16661;AV-Ausleihe;4425355;Digital Fotokamera Nikon D 80 (inkl. Nikkor AF-S DX Zoom 18-135mm);Spiegelreflex Digitalkamera
AVZ16662;AV-Ausleihe;4426060;Digital Fotokamera Nikon D 80 (inkl. Nikkor AF-S DX Zoom 18-135mm);Spiegelreflex Digitalkamera
AVZ16663;AV-Ausleihe;4425812;Digital Fotokamera Nikon D 80 (inkl. Nikkor AF-S DX Zoom 18-135mm);Spiegelreflex Digitalkamera
AVZ16664;AV-Ausleihe;4425558;Digital Fotokamera Nikon D 80 (inkl. Nikkor AF-S DX Zoom 18-135mm);Spiegelreflex Digitalkamera
AVZ16665;AV-Ausleihe;4425354;Digital Fotokamera Nikon D 80 (inkl. Nikkor AF-S DX Zoom 18-135mm);Spiegelreflex Digitalkamera
AVZ16666;AV-Ausleihe;4425811;Digital Fotokamera Nikon D 80 (inkl. Nikkor AF-S DX Zoom 18-135mm);Spiegelreflex Digitalkamera
AVZ16667;AV-Ausleihe;4425814;Digital Fotokamera Nikon D 80 (inkl. Nikkor AF-S DX Zoom 18-135mm);Spiegelreflex Digitalkamera
AVZ16668;AV-Ausleihe;4425356;Digital Fotokamera Nikon D 80 (inkl. Nikkor AF-S DX Zoom 18-135mm);Spiegelreflex Digitalkamera
AVZ14798;AV-Ausleihe;DV39661;Digitalrecorder Edirol R-09;Digital/Festspeicher Recorder portabel
AVZ15589;AV-Ausleihe;AT84742;Digitalrecorder Edirol R-1;Digital/Festspeicher Recorder portabel
AVZ14795;AV-Ausleihe;4062079000192 AU02-079X1;Digitalrecorder M-Audio Microtrack 24/96;Digital/Festspeicher Recorder portabel
AVZ15208;AV-Ausleihe;0172079003780 AU02-079X1;Digitalrecorder M-Audio Microtrack 24/96;Digital/Festspeicher Recorder portabel
AVZ15209;AV-Ausleihe;0172079003781 AU02-079X1;Digitalrecorder M-Audio Microtrack 24/96;Digital/Festspeicher Recorder portabel
AVZ15222;AV-Ausleihe;0172079003788 AU02-079X1;Digitalrecorder M-Audio Microtrack 24/96;Digital/Festspeicher Recorder portabel
AVZ15223;AV-Ausleihe;0172079003517 AU02-079X1;Digitalrecorder M-Audio Microtrack 24/96;Digital/Festspeicher Recorder portabel
AVZ15224;AV-Ausleihe;0172079003720 AU02-079X1;Digitalrecorder M-Audio Microtrack 24/96;Digital/Festspeicher Recorder portabel
AVZ15225;AV-Ausleihe;0172079003686 AU02-079X1;Digitalrecorder M-Audio Microtrack 24/96;Digital/Festspeicher Recorder portabel
AVZ15590;AV-Ausleihe;2.00106E+13;Digitalrecorder Marantz PMD660;Digital/Festspeicher Recorder portabel
AVZ16233;AV-Ausleihe;57434;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16234;AV-Ausleihe;57431;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16235;AV-Ausleihe;57432;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16237;AV-Ausleihe;58716;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16238;AV-Ausleihe;58717;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16239;AV-Ausleihe;58718;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16240;AV-Ausleihe;58720;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16241;AV-Ausleihe;57439;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
AVZ16242;AV-Ausleihe;58719;Digitalrecorder Zoom H2;Digital/Festspeicher Recorder portabel
